date,transaction_volume
11/18/2014,3262
11/19/2014,3411
11/20/2014,3294
11/21/2014,3312
11/22/2014,3342
11/23/2014,3460
11/24/2014,3673
11/25/2014,3513
11/26/2014,3442
11/27/2014,3708
11/28/2014,3303
11/29/2014,3318
11/30/2014,3397
12/1/2014,3582
12/2/2014,3755
12/3/2014,3750
12/4/2014,3808
12/5/2014,3238
12/6/2014,3103
12/7/2014,3592
12/8/2014,3385
12/9/2014,3360
12/10/2014,3184
12/11/2014,3435
12/12/2014,15149
12/13/2014,3519
12/14/2014,3524
12/15/2014,3750
12/16/2014,4033
12/17/2014,3867
12/18/2014,3767
